,Reviews
248,"I have not read the books, A Song of Ice and Fire by George R.R. Martin, nor have I watched the show live from the beginning years, but I had heard good things and a lot of hype about Game of Thrones, so I thought, as a fantasy and medieval type fan, I would check it out. And boy, am I happy I did!! From the very first episode and particularly about midway through the first season, I was totally hooked onto this show.

Now, you learn pretty quick the mood and tone set by this show. I am a huge fan of The Lord of the Rings and to a lesser extent the Chronicles of Narnia, but this show, even though at times feels like those, is really anything but. It has a much darker, meatier edge to it, sometimes almost feeling too intense for some people. Due to this, it will certainly not be a show that will please all audiences, but for others, it will make what is great about this show, the unpredictability.

What makes this show so special though is the story of all the characters, the sets, and the writing. Also, when I say all the characters, I mean ALL the characters as there are at least 20 characters that you will know by the time you have caught up watching the show thus far. Though its very complex and sometimes can feel hard to keep up with every character's story, the show does a brilliant job at balancing all the character's off that you feel like you know each and every one individually. The dialogue between the characters feels fresh, intense, and just down right gritty. But its this dialogue that keeps you focused throughout every scene. The cast also is simply incredible led by Peter Dinklage as Tyrion Lannister, Emilia Clarke as Daenarys Targaryen, Lena Headey as Cersei Lannister and Maisie Williams as Arya Stark. Again, with all the characters, that is only a select few, but others are just as deserving of these accolades.

I personally caught up with the show in just under one week watching, as I absolutely did not want to stop watching, wondering what would happen next in the revolving story as your feelings towards characters change, and characters you grow to love suddenly have things, let's just say, don't go quite the right way for them.

I am not going to compare it to other classic shows of the past, as I have never been the biggest television watcher. But all I can say is that even though this show has a lot of things that are quite intense in the form of violence, language or nudity, it doesn't ever feel like its the focus as the real themes here are family, politics, and loyalty. It's an experience to watch each and every episode, and I can't wait to continue on the journey with all these characters. As Daenarys says most notably in one scene: DRACARYS!!!"
249,"Okay so I'll start by saying that this programme is not something I would normally watch.... I first came across ""Game of Thrones"" when someone posted on their Facebook page that they were watching it. I then looked it up and it had such a good rating on IMDb I decided to watch it myself. I went to my local TESCO and found season 1 and purchased it. I didn't think I'd be much into it, but after half of episode 1, I found myself hooked. I feel the same way after every episode. I wan't more and more and more. I've just recently purchased season 2 and plan to start watching it very soon..... IF YOU'RE READING THIS AND HAVEN'T SEEN GAME OF THRONES YET.... WATCH IT!!!!!!"
250,"After personally reading each book, the Game of Thrones series was incredulously close to the works written of in the books.

The author is an incredibly talented writer and the dramatisation regards the stories told with the precision of a sniper. Screenplay adaptations are very hard to make, especially those done properly and the only other fantasy work of art that has been produced correctly, in my opinion was 'The Lord of the Rings'.

'Martin's books evoke a powerful image within the reader's mind about the transcending story and the screen play adaptation was true to the novel's idea's and story. Great praise to all cast and crew especially Mr Benioff and Mr Weiss for the work of art on-screen. Special thanks to Peter Dinklage who added a brilliantly comic performance to his own role.

Definitely dying to watch the next series unfold."
251,"Wow!!! This is a series you won't regret watching, it was amazing from start to finish, each episode was superb. When GoT aired on Sky Atlantic here in the UK I couldn't watch it because like 60% of the population I don't have Sky TV but another digital TV provider.

But I am so glad I made the effort to watch this online. I was hooked and spent three days watching the whole 10 episodes last month. This lead me to buy and read all of the books released so far. I am eagerly awaiting season 2 and even though I've read the books it wont diminish my pleasure as I know the producers can and will do justice to this epic tale.

Thank you HBO, well done and please don't stop until George RR Martin writes the last book and you have delivered us the entire story, I look forward to a few years of good TV."
252,"I started watching Game of Thrones on Saturday night, I got to episode 10 last night (Tuesday) and am going to watch from episode 1 again tonight, to say this is the greatest TV show ever made is no hyperbole, it's exciting, looks beautiful, is witty and sly, sneaky, scary, heart pounding and all a little familiar.

The acting is amongst some of the best on screen, the characters developed, deep, real feeling and mortal, they plot and grasp and try and die, I really am totally enamoured with this amazing story of amazing people.

The intrigue is dialled up to 11, the sets make me gasp that a TV show is making them, the style is so enriching that you always know where you are from the walls or the people.

Watch, enjoy, thank yourself and HBO for being amazing."
253,"I'm no fan of history shows, whatever type it be. Yet i do enjoy this show. And that's no little thing, especially when it be coming from a startrek/stargate addict. It's purely fictional, yet it ressembles Middle Age England. I admire screenplayers and actors for using a pretty strong language sometimes, yet i have no criticism on that, i believe it makes the show more real. Truly brits. I wish i had a detailed map of the Realm and a genetic map of all the characters. There are so many distinct characters, sometimes is hard to keep track on who's related to whom. I don't know why IMDb.com is forcing me to write at least 10 lines of text on this subject! If i'd write 10 pages on it, it still wouldn't be enough. You just have to watch it for yourselves!"
254,"First few seasons were tremendous, recently D&D have dropped the ball and let it roll around in a pile of sh*t. Each new episode is consistently disappointing.

This could have been something great, now it's just something popular.

There's not much more I can say, we'll all watch it anyway, just don't expect it to be good."
255,"At First I gave this series 10 out of 10 and was happy with it. Show started strong and the at the end of 1st season I was really angry when they killed NED like they did!! But it was OK I mean I was waiting to see some pay back as they(Wolf and company) were no sheep, Wolf will hit back somehow. Following season was some more disappointment in terms of my aspirations lol(Robb dead and others in following season -Oberyn, stannis etc). Well still there were some sparks that made me feel that there is still some hope and things will change but NO!!! There are so many reasons people liked the show at First but then the way it is going I really don't want to watch that. Bran and Arya Stark is left who are very young and Sansa I hate that girl lol, I wish they killed her instead!! Tyrion is a very good and interesting character who is left other than Starks. But rest all i was rooting for are dead. Not that its anybody's fault or am blaming them for anything but I don't want to watch a TV show and get angry every time at the end of every season and wait to get furthermore disappointment. Only few things to enjoy and many things to annoy is the crux of this Series!!! I don't care about that Dragon born girl Dany, or other lannisters, or Tyrells and other such kind of houses. Devious and cheaters do win but not all the time! SO something is wrong here. It has tuned into those kind of shows which are so sad all the time and joyful rarely. I am not a hater but they took my joy away and I really don't like Game of Thrones now. Am not here to watch cersie and Tyrells playing house, or Bolton Bastard doing tortures and stuff. Dumb night watcher killing Jon snow. Its so sad every time this series progresses. Some people might like that kind of stuff but I will rather play counter strike or Football or listen music. Anyway I posted this so if anyone just don't wanna see good guys die all the time over and over They can read this and stay away lol :P"
256,"Great series , Daenerys Targaryen love her strong woman ."
257,"Since season 5 , everything is rushed , empty dialogue , only the special effects are making it worth to watch , hope its gonna change."
258,"Game of thrones is one of those TV shows which I swear will still be considered a pinnacle of television entertainment 50 years from now. And we will tell our grand kids of the sweet torture we undergo every year for a decade waiting for a season of GOT to start.

* Great acting, good plot, amazing CGI,beautifully choreographed battle scenes,picturesque sets from all over the world, carefully detailed costumes and crazy plot twists. What more can you ask for?"
259,"This is easily the best show on TV at the minute possibly ever. Most unpredictable amazing show I've ever seen. The first season starts rather slow as its mainly character introductions but stick with it it takes a while to learn everyones name but you'll get used to it. It doesn't really pick up in action till around episode 6 so i recommend you give the entire season a chance by the end of it you'll be hooked. I've never given a 10/10 to anything but this show comes closest. Season by season there all pretty solid each season seems like a different show due to the large storyline changes. Game of thrones has some top class actors such as Sean Bean, Peter Dinklage, Emilia Clarke, Charles Dance, Lena Headey, Nikolaj Coaster-Waldau and many more i constantly recommend this show to everyone i know and everyone loves it."
260,"The show has brought in some of the most talented children i have ever seen. They are much better actors than a lot of stars today. It deals with real life conflicts, following George Martin's masterpiece. It is a production that you know that they've worked on from the bottom of their hearts. They want to surprise you more. This is one of the most talked about shows in the world, yet the cast and crew always have a sense of improving. They give more and more every season.

The only downfall of this show is the presence of some boring episodes. However, these episodes are essential to get the story going. The only thing that i found that some find extremely appealing which others find as a huge turn off is the presence of dragons. But the thing is, those dragons aren't just added for the sake of it. They incorporated well into the story. Plus, the cgi team is working brilliantly on them."
261,"I felt the need to add my two cents simply because of the (somewhat few) negative reviews posted on IMDb. The only criticism I can accept is the fact of much female nudity, compared with no full frontal male nudity, a strange yet common phenomenon not in any way limited to this series.

Other than that, GOT is what so many others have accurately described: possibly the most beautifully filmed, addictive TV show ever produced. The acting is simply superb, on all levels. This is one show that could be truly described as having an ensemble cast, and to that end, no actor/actress seems to outshine the others. All are excellent and seem to truly understand their character's motivations. I have also read the books which were truly fantastic, although at times long. I could not even have imagined it possible that a TV show could be so true to the books and yet almost exceeding the quality of the books. The few plot variations from book to show tend to make sense in terms of making the series watchable and in light of the time restrictions for each season.

The people responsible for casting show really deserve a lot of credit. I am absolutely blown away by how well each character is translated to the screen and which actors are chosen for each part. In addition, as other reviewers have noted, the production values and special effects are second to none.

Of course, a lot of people die in the show and I was sad to that Sean Bean had only one season. But, oh, did he make good use of it! I'm sure everyone has their favorites, I personally think the actors who play Lord Baelish (Littlefinger), Lord Varys and Stannis Baratheon are just amazing. But then, who isn't, on GOT?

Ultimately, the real reason for the brilliance of this series is some truly unforgettable moments. So many movies and TV shows are enjoyable, but I end up not thinking much about them after they have ended. Not so with GOT. I laud the producers for taking it seriously enough to produce a truly meaningful, important work of art. There will always be haters and naysayers, I am glad that so many people appreciate this show. Thanks HBO, for making me so happy!!!!"
262,"This is the best show on TV today. It may be the best show in the history of TV series'. It is definitely not for everyone. The sexual content and violence alone will turn a lot of people away. If you can handle this part then you're in luck. Get ready to go on a thrill ride. Emotional, exciting, intelligent and tragic. This show really has it all. One warning is not to fall too much in love with any particular character or dynamic. Nobody is safe when playing the Game of Thrones. And with a tag line like ""All men must die"", well you get the picture by now. Amazing Actors, Amazing sets, Amazing filming locations. This show is...Amazing. Enjoy!"
263,"After watching till S04E08 I want to tell all Book readers & Non-Book readers,

Don't talk against ""Game of Thrones"". I know that ""A Song of Ice and Fire"" is way way better than the show. There is no doubt about that. But can you imagine 20 million people reading 10 chapters of book at a same time and talking about it. No.That is no way possible. So this show has given opportunity to enjoy this EPIC story together. We should be grateful for that. GRRM himself said that ""It's like my dream come true."" I'm also angry at unnecessary changes from book but prefer to let it go."
264,"Puff, were to start from?!

I watched approx. 10.000 movies and about a hundred of TV series, the modesty I know, I know... anyway the reason i write this review is to share with you all my thoughts...

Some of you may like it some of you may not, it's a free world and I respect you choice ! If some of you will say it's a matter of taste I support you guys too. Anyway again that being said lets start:

THE ""GAME OF THRONES"" ... (background music: angels singing Halleluiah)

The STORYLINE is absolutely epic, the strength point of this series is that the intrigue levels are so deep you need a big flowchart or a map to fully understand how the characters evolve, involve, interact, disappear, experience the unknown and so on, i can take any of the characters and subtracts lots of connections with other characters, and this web of intrigue levels makes this Series a gamble. A gamble in what sense, well this complex net makes an Achilles weak point, if the director of this film would not make a good directing, all this complex relations between the characters will fall over his work and BOOM, disaster! Is like building a space ship for the first time or so, you want the reach the stars but you have to think to 1000 things on every step, that's challenging and i respect the director for his work, Good Job !

Characters, a very good acting skills, they are not flawless, but i think everyone contributes to this grater good, the good of the film, and overall they do a wonderful job. I like and think the idea of the undead, to be more specific the frozen undead, to be an Blizzard Idea from the Warcraft I guess (only a thought). It's a bit bloody in the actions and wars but hey it's a damn realistic for that era. Good costumes, acceptable CGI(dragons are a bit Celisse), but hey overall captures you attention fully. Mystical symbols, raven , trees, wolves, swords of some material and so on, makes the series catchy and easy to remember. I think people are very susceptible to this sort of symbols and like them, as a marketing view point its the smart choice that adds commercial value to the movie although i personalty think its kinda silly.

I will not spoil anything, maybe some of you haven't see all the series, but i liked the acting of Theon Greyjoy (very good acting skill).

Sounds and music are very carefully selected and it matches perfectly the mood of the series every episode. I personally don't like the long intro but, I can pas over it. I like the fact that conversation generally doesn't stack over the background sounds, this is a simple and a clean idea which i appreciate, it shows that your attention should be focused on the conversation, and every conversation adds value and new meaning on the evolution of the characters and the story.

Things I don't like: 1.Long intro, damn it's long start already i want to see... (I think every time i look at new episode) 2.Dragons, raven, rituals, and other smoked symbols (Celisse my opinion) 3.Lack of big and more open spaces (usually fields, castles and sea)

Things I like: 1.Acting 2.The stories and scenes 3.Characters, lots of races and types, complex connection between them 4.Sound and music pops the interest 5.Everything else.

If you have another opinion feel free to get the f__k off! :)"
265,"I usually do not review television series' until the end, because anything can happen, but I've been tempted for a very long time with this masterpiece. My God, I have never went through so many emotions during a show. This show is the top of the cake for me and Breaking Bad is second... Which is bad, because that isn't even on the cake compared to how amazing this show is. A great TV show has characters you are interested in and a story structure that doesn't get old. Game of Thrones takes that bottom-line goal of all TV shows and exceeds to the max with characters you genuinely believe in. You love some to death, you hate some with a passion, you feel bad for some, and overall... You care what happens to these fictitious people. That is what's important. Since, George R.R. Martin is such a fantastic, twisted writer he knows how to create amazing characters. We're introduced to many throughout the series and they all bring a story that somehow circulates into the main plot. It seems like shows like Walking Dead tries to mimic that, but it doesn't work for me, because there are many characters on Walking Dead I do not care for. Both series have something obvious to expect between them. And that is death. At any moment in both shows, anyone can die. With Walking Dead, you would be upset if a few die. The rest could die and it's whatever. The plot not even change. With Game of Thrones, every death is a blow, because you have time to really get to know these people. The plot spins out control with each death. That is quality television. Television is the only medium where you can truly capture a character's growth without it being too rushed or too slow. Game of Thrones really uses that to its advantage. Everything that's good about this show is that it takes the advantage of being a show that can last years and it is shot and presented like a damn movie. There's a reason it's the most pirated show in history. It is literally the perfect show. To think, the two producers that started it really didn't have any experience with television or film and they are doing such a wonderful job. If that's not inspiring, I don't know what is."
266,"I held out on Game Of Thrones for quite some time for a few reasons..If I had read the novels , I most likely wouldn't have (to be completely honest , medieval fantasy fiction has never really been my thing).. George RR Martin may have just changed all of that...

The show has stricken a chord with some folks, which just lends it even more credibility if you ask me..It is brutal. beastly . revolting. disgusting and heartbreaking. it's also beautiful , spirited, uplifting, soulful and inspirational..watching it is an experience- one that seems to resonate. this show does , in a way, what Breaking Bad is also doing for me - engaging me in such a way that I revel in what is my own sense of what it is to be human..and needless to say, I am entirely invested in the characters - which leaves me even further in suspense, as NOBODY is safe!

The casting team and the acting crew also deserve props for this one as well.. With the exception of just a few independent scenes , the acting is superb..it would really easy to chew up the scenery , yet they walk the line extremely well. The production is , of course, outstanding. Everything from costume design to the invention of the languages used was well prepared and executed brilliantly.

It is a bit ironic to think of how skeptical I was of the show , given my initial reluctance to sit down and watch it, and now, how much I enjoy it . Matter of fact, I don't think I could trust a person who has watched three episodes and does't thoroughly enjoy it!"
267,"This show hasn't been that great since they killed off Barristan Selmy.

It kind of exemplifies how the writers care more about satisfying the 'shock value crowd' with surprise character deaths, than maintaining character consistency or interesting dialogue. Whether it be a close up of a penis with warts, the half dead Mountain raping a nun, or an Ed Sheeran cameo, the show is just kinda 'meh' now."
268,"This series,is such a huge success because it deliberately revives and confirms male patriarchal stereotypes and general nihilistic views on masculinity.In a time where young men have lost their sense if purpose;what is it nowadays to be a man?This is medieval times recreated with more war and more nihilism.The fantasy element is added with 3 dragons and a little bit of magic. Next to that the deliberate creation of (by now quite boring repetitive predictable (with a""k"") shock effect every season by showing the hacking of heads and limbs""See guys; in days of old real men showed no mercy.""And next to that a cast of almost all unlikable opportunistic characters.Only Jon snow I'd blow:)But who wouldn't? With the Mother Of Dragons joining in of course,o.k boys?:) Certainly most the closeted IMDb gaming nerds that adore this show so,would join.Those that seem to have kidnapped the sf- fantasy ratings of IMDb anyway:)Oh yeah.. Diana Riggs Oleana Tyrell is somebody I would have a cup of tea with. Anyway I digress.Next to that the psychology is very flat.Because most of these types are vile,disrespectful, not so sensitive twats (m/v) whom we frankly, as the seasons progress, get no true insight into; motivation wise.Why care?Problem is there are too many characters in the first place.And they all seem to have the same bloody hollow ambitions. As of yet our dear writer has not granted us any solace any hope of any sort of psychological release.And we're in season 6 of 7, mind you, of mister Martin's ""provocative"" nihilism; I say why don't they just all butcher each other! Which they probably will in the end ! See if I care!.:) It's all gone much too far without having anything significant to say about humanity.Whilst fantasy should provide us with alternative views and values.And could really blow our minds.Here it merely serves to confirm the hopelessness of the man race:) In short:Overrated by IMDb gaming computer nerds and South Park loving autistic sissy boys that do not know where to stick it anymore:)All a bunch of vagrant crybabies that wouldn't even be able to handle a sword,They'd probably hack of their own toes.Fitting actually:) Toodles.....:)"
269,"If you ever struggle to sleep at night what this series.. iv made it my routine to watch an episode before i go to sleep and it works wonders. Forget using sleeping tablets or having a glass of having a whiskey.. simply watch an episode and you will be lights out by the time it finishes. How it gets such a high rating i will never know! People get caught up in the hype. Its terrible, simply terrible! Do not waste your time!!!"
270,"I'm just going to say it: Game of Thrones is a grossly, grossly, GROSSLY overrated series. People act like this is one of the greatest series ever made. I say that's bullshit! Game of Thrones is so f*cking boring. The plot lines are everything we've seen in this type of story before. Every episode feels formulaic. It drags along often. The acting is subpar. Sometimes the actors seem more interested in the money they are about to get than the roll they are portraying. Other times they are WAY overacting to where it just gets annoying. The set design, while nice looking, is still generic as all hell. It is the same forest and ""mythological environments that we've seen in Lord of the Rings or Princess Bride. I cannot believe this lasted more than a season and has a rating of a NINE POINT F*CKING FIVE on IMDb! It's not the worst show ever but it should not be grouped with shows like Breaking Bad. Oh, and did I mention that the fanbase is almost as bad as the bronies?"
271,"The question is not why we would watch such shows as why they would make them. They may simply want to test the limits of the art of film/show making. Perhaps they foster serious discussions of difficult subject. In my opinion, they are simply not worth the price of the film stock they are printed on. Arty crap is still crap. Don't waste your time on this. This is the kind of sick, nausea--inducing garbage that the said crowd, especially Westerners. This was probably the worst piece of cinema I've encountered, considering its very thin and simplistic plot, shadowing the disturbing atmosphere of very sinister subjects which were specifically, incest, rape and murder. The people who made the show and watch the show are just sadly very sick humans. This show is immoral, perverted and completely filthy. I watched the pilot and I felt so dirty and disgusted; all I saw was meaningless sex, degrading women, incest, perversion and extreme violence. Where have our morals gone to allow shows and movies like this to be so popular??? I don't like fantasy stuff and this show is just the worst I have EVER seen, I can't understand why so many people like it. It's just horrible and annoying, I hate it! First time I saw it I almost puked, the characters were so annoying and even the main characters died, what is this show even about - Death and war? I mean the actors are so emotionless and boring, you can see that they hate to work for this TV show. I mean seriously it's the first time I saw this show and I already hate it, how is this even possible without sucking so much? Who is the audience that likes this show, who? Nerds and WoW-Players, I mean seriously why do people watch this when there are so many better shows Pure filth!!! 0/10"
272,"Game of thrones is and will be the best show ever made in the history of television. The mere commitment of the show runners to give their audience the best possible viewer experience is really commendable. The way each character unfolds and how well the plot is spun around these characters is simply admirable. This is the only show worth waiting for after completion of every season. And mind you, it does deliver every time that it returns for the new season. I just hope i get to watch many such shows in future."
273,"""Lannister, Baratheon, Stark, Tyrell, they're all just spokes on a wheel. This one's on top and that one's on top and on and on it spins, crushing those on the ground. We're not going to stop the wheel. I'm going to break the wheel."" -Daenerys Targaryen

Rating this show anything less than 10/10 is an injustice. This show transcends all of its predecessors across all mediums. GOT is in a league of its own."
274,"Even if you don't watch ""Game Of Thrones"" chances are you have probably a lot of friends who watch it and say that it is the best show that they have ever seen, and can't stop telling you about it. Well i say that too, because i haven't seen anything close to it. First of all i have watched many TV shows, both that now i consider good and bad, and when i say a lot i mean it (The Walking Dead, Breaking Bad, Arrow, Sherlock, House Of Cards, True Detective...). Now i stopped doing that, because i realized i was wasting a lot of time watching TV shows. The only TV shows that i now watch are Game Of Thrones and House Of Cards. I would say i have grown up a bit in 3 years, but i only see those TV shows worth spending my time on. Now that i have told you my backstory i can start praising Game Of Thrones, and saying how everything is perfect, except i WILL NOT do that. I will tell you what i think makes this show that good and why you should start watching it, but i will also focus a bit on the bad sides that there aren't many, but they have to be brought up in order for you to make a good judgement about it. If you are expecting a TV show just to spend your Friday or Monday night, entertaining yourself at the moment you won't get that with Game Of Thrones. What you will get instead ""Game Of Thrones"" is a big journey, full of carefully invented events and characters. The characters are psychologically well described, exactly like people in real life. Each one of the characters has his goals, motivations, morals and specific mindset (way of thinking) that the show presents it to you in the best way possible. If you wan't to understand it better, you should read something on reddit or rewatch the show, because a lot more is going on than what you have noticed. It's made in a way that if you think and analyze the decisions of the characters you will end up predicting how they will act in the future, like a game of chess. It has a lot of plot twists that you will never expect and that will definitely shock you while watching it. The most important thing that makes me love this show so much is how realistic it actually is. But wait you will ask yourself this is a fantasy show isn't it? Yes it is, because there is a world just for ""Game of Thrones"" , with specific history, geography, politics, holidays, and even the accents of characters who are from different places in Westeros are specific. It has even two languages made just for the show with around 1000-3000 words. You can see the realism in the show, just from it's motto that it is ""All men must die"", meaning that everything can happen in the show just like in real life. There is not a main character that beats all the odds and lives happily forever after. No every character in ""Game Of Thrones"" has it's good and bad sides, ups and downs, and most importantly everyone can die in any moment, there is not coincidences like in other movies or TV shows, where at the end the character will be saved by some miracle or a coincidence. The show doesn't have a hero, nor a villain, but it makes you decide for yourself who the hero is and who the villain is. What i think makes this show the best of them all is that it can be watched by any audience and still be enjoyed by everyone. Whether you are an intellectual and a very educated person or not very much educated (no offense to anyone), this show has something for everyone. Whether you are watching it for the dragons, the middle aged theme, the sexual scenes, or like me for the game of chess that's going on in it from the start, you fill find something that will hook you to it. I CAN PROMISE YOU THAT! What i would say that people don't like much about it, it's the start of the show. It takes some time to meet and get to know the characters, and when you start, you will not have much to go on, but when you finish the first few episodes it just won't leave your mind. I want to thank you for reading this rather big review, but i think you will find it very helpful considering my experience with TV shows. And yes, Game Of Thrones is really my number one favorite. PS. I apologize if there are a couple of grammar mistakes, that's because English in not my first language. Wish you all the best :)"
275,"I have never been more impressed,with a more gripping and unforgettable show.The characters.Plot.Action.Theme.All make me want this show to never end.You could say this show is over-perverted,and disgusting,but without that you would only have accented people having never-ending dialogues over wine.I have never seen a show with more depth and motivation in their characters.Even those who get annoying George R.R. Martin fixes somehow.Unforgettable one liners,cool action,and ever revolving plot,will keep you forever entertained.Unless you don't like extremely graphic content (the shows only fault),this show will be perfect for you!"
276,"My title says it all. Why do people compare series or movies with the books? Series or a movie can NEVER be as good as a book! I almost never read books but when you read a book you use your imagination and your imagination is ALWAYS better then seeing series. Just to say that the comparison is pure rubbish. You can compare series to series, movies to movies and books to books but not compare a series to a movie or a book to movie, etc.. Some of the critics here say that the cast is bad. I dare people to make a better cast for this show, especially Peter Dinklage as Tyrion Lannister is superb.

I never read the books and I think Game of Thrones is awesome. Maybe it's because I never read the books, maybe it's because it's just a brilliant show. But only for the opening credits you can give this show a point or 2 extra. I say this without any doubt in my mind that that is the best opening of a show ever made.

For the people who compare this to LOTR. Yes, it's a bit of the same scenery with the knights and the fortresses but except for that they has no similarities. LOTR is mostly known for their epic battles were Game of thrones is more about honor, love, betrayal,... . And as I said movies can't be compared with series. This is a perfect example. In series it's much more about character building with lot's of characters were movies focus more on one character or like in LOTR they focus more on the mission of destroying the ring and the story around that. You can say that the ring is the main character in those movies. Game of thrones has lot's of main characters (The Lannisters, The Starks, Daenerys Targaryen, Jon Snow, Theon Greyjoy, etc.).

What I think about this show is that it's the second best series I've ever watched (except from breaking bad). If you like a well written, well acted fantasy series with lot's of drama, action and humor you should watch this show. You WILL like it !"
277,"Not for a long time has television seen a show of such allure. Game of Thrones has taken me as well as thousands of other viewers by our ears and eyes into a new world, one that we become emotionally attached to. When starting such a series, one must be skeptical, but no fear, this is a ride you want to stay on. Perfectly cast, and entertaining and informational to even the people who have not read the novels, the creators of the show have hit this one out of the ballpark. I personally have become engrossed and am always craving more of my favorite house's adventures in Westeros.

Thank you, HBO, for taking me to a new place for an hour at a time."
278,"this is one of the if not the best show I have ever seen. it has tits, blood and dragons sadly every season is just 10 episodes. they are 1 hour long though. the visuals are amazing and the series is easily downloadable (i didn't download it of course). one advise i should give is that you should not search the web for Game of Thrones. or the comment section on YouTube. it is filled with spoilers. the series is based upon a series of books. the people that read these book are giant assholes because they will spoil every thing before it even happened in the series.

with that said. go watch the show! if you haven't yet. you do not know what you are missing out on.

~loldude12"
279,"It took a little while to figure out all the threads but this season has held every emotion. Its crazy good. The characters are rich and complex and force you to change your opinions of them over time. The writers have created a completely different world which I buy into just like any of the great science fiction entries of the past that transported me into something extraordinary. Prepare to love and hate once it sucks you in.

The female characters steal the show. My absolute favorite is the youngest Stark girl, Arya. She is fierce and driven and remarkable, surviving everything thrown at her. The female characters are so strong, in fact, that the males - who rule the world - put their lives on the line for them...happily."
280,"This show is so good, it made me watch its first two seasons for five times until now. Each time I discovered new, more subtle details, which gave the story even more meaning. I have never been so hooked up to a show.

The story is extremely captivating. There are a lot of subplots, more or less interconnected to each other, each having its own characteristic ""color"". One can tell immediately that it is based on a good book.

The characters are complex. A good versus evil split between them is hard to draw, since you can easily relate to them through different situations. This is very pleasantly surprising, given the fact that the show depicts a fantasy world, which would automatically lead to the good/evil split like in so many fantasy worlds (e.g. Lord Of The Rings, Harry Potter, Chronicles Of Narnia...). But not this show. Here you can see a fantasy world which is closer to the real one, where people act as driven by different reasons, beliefs or desires.

The plot is often breathtaking, and the show is filled with shocking events, which make you question you expectations a lot. The drama is so good, there were a couple of big moments throughout the show where the major goosebumps I experienced were accompanied by trembling hands and wet eyes.

If you haven't watched this show yet, you don't know what you're missing!"
281,"The casting, acting, story-line, fantasy - well I could keep describing the outline of the show but there is no need for that, this is a great show, never before have I given a 10/10 but I have to admit this show deserves it, I hope it goes for further than 3-4 seasons, shows like this deserve to continue and I'm pretty sure everyone who has seen it would agree.

Season 3 is something I've been awaiting for quite a while and my expectations are to be met, I am pretty sure of that, as so far game of thrones hasn't let me down, season 1-2 were amazing, specially how they twist the story and play with the cast, overall amazing. -latinohabanero :)"
282,"I just was a little bit doubtful when i saw that this was fantasy. First episode and i was completely hooked. There is just so awesome casting and the script is pure titanium. I just cant wait till my next watching happens. I recommend this show to every one who watches series that has clever story, awesome casting and brilliant directing. And let my remind that this series is suited to everyone who enjoys pure hardcore acting. I actually live in Scandinavia and I pay for watching this movie. What more can i say watch this series, because it has very good point concerning life. It has very good meaning and i watch every episode all over again. Nice job. Ps. if you have extra money invest it in Scandinavia to this series, I promise you wont regret it."
283,"We should all be thankful that SyFy did not attempt this. From the start this was always going to be a very difficult series to move from page to whatever it is that they record films on these days! Having watched the first two episodes, it is loyal to the book, no doubt due to George RR Martin acting as a consultant. It will be pacey because the books are so vivid and descriptive. Those that have not read the books may well wonder what is going on and actually be inspired to read them. A very gritty HBO drama with the usual gratuitous nudity, but hey! Thats what we wanted isn't it? The casting of Peter Dinklage as Tyrion Lannister is inspired and he plays the part brilliantly. Thoroughly enjoyable and I look forward to the next episode."
284,"Where do i start first of all this show is HOR-RIBLE like a car wreck where a family of four gets mangled and killed horrible. I'm not trying to be mean i'm just going based off my observations.I will break this down as simple as possible.

Acting : Not good,if i were to rate the acting on a IQ scale i'd put it at 50.Which translates to being mentally retarded, the writing is some what to blame but.If these actors had any really good talent that was above average.They could make the show much better even with sh*&^% dialogue.Why any self respecting actor would chose to be on this show,is a sign that there is no good actors here at all.At least any with good judgement or integrity.Any actor with real talent would only be undermining themselves by doing this garbage.

Plot: Dungeons and dragons with lots of violence and lots of sex.Just think of eating something thats way overcooked and.You're pretty much getting the same thing here.Luckily this show has a built in audience or else it would of sank along time ago.The main ingrediant for this show has become just to shock and confuse people.To keep them interested which is usually a sign that the creators are struggling to keep this show afloat.Even going as far as throwing in the sex sounds when peter dinklage is getting his knob slobbed.It's like they had prepubescent boys in the editing room;working the sound effects.

Writing:I doubt there is any writers ,if i had to guess i would say they are just pulling dialogue right from the book verbatim.

Overall the show is held together by gum and paper clips ,theres only so many times graphic violence and sex will work .There was a scene where one of the male characters is giving a monologue with two female actresses.Performing sex acts on each other while trying to sound serious i felt embarrassed for the actor and actresses that had to put up with that.This show has absolutely NO substance what so ever the best advice i can give is this .If you want to know what this show is really like don't go to someone who is a fanboy of it .They will just sensationalize it for you.Which will just winde up misleading you to wasting your time watching this junk.This show trys

way to hard and doesn't deserve any of credit for its efforts. I wish IMDb allowed for negative numbered ratings so i could give this a proper rating.EPIC FAIL"
285,"My husband read the book to this. He loves historical fiction, so as a gift I thought I would buy him the box set. I loved it, couldn't wait to watch it every evening until I found it getting more and more graphic with, from what I can see, no real artistic reason other than to lure in another category of viewers that may otherwise be less sated by the actual quality of the content, story and acting. The scene between the prostitutes was, what can only be categorised as, soft porn. It was gratuitous and made me feel uncomfortable as it was relentless - we get the point Mr Director, you don't need to ram it down our throats. I have 2 or 3 episodes left to watch, but am now left less enthused about getting through them. Disappointing."
